,Code,Trigger Ratio,Close > Open Percentage,Low Violation 1 week,Low Violation 2 week,Low Violation 3 week,Low Violation 4 week,Close Violation 1 week,Close Violation 2 week,Close Violation 3 week,Close Violation 4 week
180,WELL,3.1417624521072796,43.90243902439025,24.3902,12.1951,4.878,9.7561,56.0976,7.3171,4.878,2.439
181,WFC,3.6015325670498086,61.702127659574465,19.1489,4.2553,12.766,10.6383,34.0426,10.6383,14.8936,6.383
182,WHR,3.6015325670498086,46.808510638297875,25.5319,10.6383,8.5106,2.1277,46.8085,8.5106,6.383,2.1277
183,WLTW,3.8872691933916426,42.5,12.5,17.5,7.5,7.5,57.5,7.5,10.0,0.0
184,WMB,2.7586206896551726,58.333333333333336,5.5556,22.2222,5.5556,5.5556,36.1111,16.6667,5.5556,0.0
185,WMT,3.67816091954023,45.833333333333336,20.8333,10.4167,4.1667,4.1667,54.1667,8.3333,8.3333,2.0833
186,WM,3.4482758620689653,44.44444444444444,24.4444,15.5556,4.4444,13.3333,55.5556,11.1111,6.6667,4.4444
187,WRB,3.67816091954023,52.083333333333336,18.75,4.1667,6.25,6.25,50.0,2.0833,4.1667,4.1667
188,WRK,0.9493670886075949,100.0,0.0,0.0,66.6667,0.0,0.0,33.3333,33.3333,0.0
189,WST,2.9118773946360155,73.6842105263158,7.8947,10.5263,7.8947,5.2632,23.6842,23.6842,7.8947,2.6316
190,WU,3.8910505836575875,53.333333333333336,13.3333,20.0,3.3333,10.0,36.6667,23.3333,6.6667,0.0
191,WYNN,2.865916069600819,35.714285714285715,10.7143,10.7143,3.5714,10.7143,67.8571,10.7143,3.5714,3.5714
192,WY,2.375478927203065,54.83870967741935,3.2258,19.3548,3.2258,3.2258,41.9355,12.9032,9.6774,6.4516
193,XEL,3.0303030303030303,48.484848484848484,21.2121,18.1818,6.0606,3.0303,48.4848,9.0909,3.0303,0.0
194,XRAY,3.0651340996168583,67.5,20.0,2.5,10.0,5.0,32.5,12.5,7.5,7.5
195,XYL,1.9646365422396856,70.0,10.0,10.0,0.0,0.0,40.0,0.0,0.0,0.0
196,YUM,2.5806451612903225,40.625,21.875,0.0,9.375,6.25,59.375,6.25,12.5,0.0
197,ZBH,2.4038461538461537,60.0,12.0,4.0,12.0,12.0,40.0,24.0,12.0,0.0
198,ZBRA,2.6053639846743293,58.8235294117647,2.9412,5.8824,23.5294,2.9412,41.1765,23.5294,5.8824,0.0
199,ZION,3.6015325670498086,42.5531914893617,25.5319,14.8936,6.383,4.2553,53.1915,8.5106,6.383,4.2553
200,ZTS,1.8140589569160999,75.0,0.0,0.0,0.0,0.0,12.5,25.0,0.0,12.5
